state,district,primary_type,district_delegates,gender,race,age,education,pop
Alabama,CD01,Primary,5,Female,Black,18-24,College,679
Alabama,CD01,Primary,5,Female,Black,18-24,Less than college,9694
Alabama,CD01,Primary,5,Female,Black,25-34,College,3371
Alabama,CD01,Primary,5,Female,Black,25-34,Less than college,11327
Alabama,CD01,Primary,5,Female,Black,35-44,College,3265
Alabama,CD01,Primary,5,Female,Black,35-44,Less than college,9790
Alabama,CD01,Primary,5,Female,Black,45-64,College,4895
Alabama,CD01,Primary,5,Female,Black,45-64,Less than college,21038
Alabama,CD01,Primary,5,Female,Black,65+,College,1941
Alabama,CD01,Primary,5,Female,Black,65+,Less than college,11515
Alabama,CD01,Primary,5,Female,Latino,18-24,College,97
Alabama,CD01,Primary,5,Female,Latino,18-24,Less than college,1006
Alabama,CD01,Primary,5,Female,Latino,25-34,College,506
Alabama,CD01,Primary,5,Female,Latino,25-34,Less than college,1237
Alabama,CD01,Primary,5,Female,Latino,35-44,College,460
Alabama,CD01,Primary,5,Female,Latino,35-44,Less than college,1002
Alabama,CD01,Primary,5,Female,Latino,45-64,College,453
Alabama,CD01,Primary,5,Female,Latino,45-64,Less than college,1415
Alabama,CD01,Primary,5,Female,Latino,65+,College,152
Alabama,CD01,Primary,5,Female,Latino,65+,Less than college,657
Alabama,CD01,Primary,5,Female,White,18-24,College,1750
Alabama,CD01,Primary,5,Female,White,18-24,Less than college,15587
Alabama,CD01,Primary,5,Female,White,25-34,College,9053
Alabama,CD01,Primary,5,Female,White,25-34,Less than college,18965
Alabama,CD01,Primary,5,Female,White,35-44,College,9590
Alabama,CD01,Primary,5,Female,White,35-44,Less than college,17928
Alabama,CD01,Primary,5,Female,White,45-64,College,18115
Alabama,CD01,Primary,5,Female,White,45-64,Less than college,48537
Alabama,CD01,Primary,5,Female,White,65+,College,10796
Alabama,CD01,Primary,5,Female,White,65+,Less than college,39931
Alabama,CD01,Primary,5,Male,Black,18-24,College,209
Alabama,CD01,Primary,5,Male,Black,18-24,Less than college,9928
Alabama,CD01,Primary,5,Male,Black,25-34,College,1254
Alabama,CD01,Primary,5,Male,Black,25-34,Less than college,11741
Alabama,CD01,Primary,5,Male,Black,35-44,College,1033
