candidate,state,total_votes,demo_group,demo,group_pct,cand_pct
biden,Iowa,176352,gender,Male,0.42,0.16
bloomberg,Iowa,176352,gender,Male,0.42,0
buttigieg,Iowa,176352,gender,Male,0.42,0.21
klobuchar,Iowa,176352,gender,Male,0.42,0.1
sanders,Iowa,176352,gender,Male,0.42,0.26
steyer,Iowa,176352,gender,Male,0.42,0.02
warren,Iowa,176352,gender,Male,0.42,0.14
yang,Iowa,176352,gender,Male,0.42,0.09
biden,Iowa,176352,gender,Female,0.58,0.16
bloomberg,Iowa,176352,gender,Female,0.58,0
buttigieg,Iowa,176352,gender,Female,0.58,0.24
klobuchar,Iowa,176352,gender,Female,0.58,0.15
sanders,Iowa,176352,gender,Female,0.58,0.2
steyer,Iowa,176352,gender,Female,0.58,0.01
warren,Iowa,176352,gender,Female,0.58,0.18
yang,Iowa,176352,gender,Female,0.58,0.04
biden,Iowa,176352,race,White,0.91,0.16
bloomberg,Iowa,176352,race,White,0.91,0
buttigieg,Iowa,176352,race,White,0.91,0.23
klobuchar,Iowa,176352,race,White,0.91,0.14
sanders,Iowa,176352,race,White,0.91,0.21
steyer,Iowa,176352,race,White,0.91,0.02
warren,Iowa,176352,race,White,0.91,0.17
yang,Iowa,176352,race,White,0.91,0.05
biden,Iowa,176352,race,Black,0.03,
bloomberg,Iowa,176352,race,Black,0.03,
buttigieg,Iowa,176352,race,Black,0.03,
klobuchar,Iowa,176352,race,Black,0.03,
sanders,Iowa,176352,race,Black,0.03,
steyer,Iowa,176352,race,Black,0.03,
warren,Iowa,176352,race,Black,0.03,
yang,Iowa,176352,race,Black,0.03,
biden,Iowa,176352,race,Latino,0.04,
bloomberg,Iowa,176352,race,Latino,0.04,
buttigieg,Iowa,176352,race,Latino,0.04,
klobuchar,Iowa,176352,race,Latino,0.04,
sanders,Iowa,176352,race,Latino,0.04,
steyer,Iowa,176352,race,Latino,0.04,
warren,Iowa,176352,race,Latino,0.04,
yang,Iowa,176352,race,Latino,0.04,
biden,Iowa,176352,race,All nonwhite,0.09,0.13
bloomberg,Iowa,176352,race,All nonwhite,0.09,0.01
buttigieg,Iowa,176352,race,All nonwhite,0.09,0.15
klobuchar,Iowa,176352,race,All nonwhite,0.09,0.03
sanders,Iowa,176352,race,All nonwhite,0.09,0.43
steyer,Iowa,176352,race,All nonwhite,0.09,0
warren,Iowa,176352,race,All nonwhite,0.09,0.12
yang,Iowa,176352,race,All nonwhite,0.09,0.12
biden,Iowa,176352,age,17-29,0.24,0.03
bloomberg,Iowa,176352,age,17-29,0.24,0
buttigieg,Iowa,176352,age,17-29,0.24,0.19
klobuchar,Iowa,176352,age,17-29,0.24,0.04
sanders,Iowa,176352,age,17-29,0.24,0.48
steyer,Iowa,176352,age,17-29,0.24,0.01
warren,Iowa,176352,age,17-29,0.24,0.12
yang,Iowa,176352,age,17-29,0.24,0.1
biden,Iowa,176352,age,30-44,0.21,0.05
bloomberg,Iowa,176352,age,30-44,0.21,0
buttigieg,Iowa,176352,age,30-44,0.21,0.23
klobuchar,Iowa,176352,age,30-44,0.21,0.06
sanders,Iowa,176352,age,30-44,0.21,0.33
steyer,Iowa,176352,age,30-44,0.21,0.01
warren,Iowa,176352,age,30-44,0.21,0.2
yang,Iowa,176352,age,30-44,0.21,0.09
biden,Iowa,176352,age,45-64,0.28,0.18
bloomberg,Iowa,176352,age,45-64,0.28,0
buttigieg,Iowa,176352,age,45-64,0.28,0.26
klobuchar,Iowa,176352,age,45-64,0.28,0.17
sanders,Iowa,176352,age,45-64,0.28,0.11
steyer,Iowa,176352,age,45-64,0.28,0.03
warren,Iowa,176352,age,45-64,0.28,0.19
yang,Iowa,176352,age,45-64,0.28,0.04
biden,Iowa,176352,age,65+,0.27,0.33
bloomberg,Iowa,176352,age,65+,0.27,0
buttigieg,Iowa,176352,age,65+,0.27,0.21
klobuchar,Iowa,176352,age,65+,0.27,0.22
sanders,Iowa,176352,age,65+,0.27,0.04
steyer,Iowa,176352,age,65+,0.27,0.02
warren,Iowa,176352,age,65+,0.27,0.14
yang,Iowa,176352,age,65+,0.27,0.02
biden,Iowa,176352,education,College,0.53,0.15
bloomberg,Iowa,176352,education,College,0.53,0
buttigieg,Iowa,176352,education,College,0.53,0.23
klobuchar,Iowa,176352,education,College,0.53,0.17
sanders,Iowa,176352,education,College,0.53,0.16
steyer,Iowa,176352,education,College,0.53,0.02
warren,Iowa,176352,education,College,0.53,0.19
yang,Iowa,176352,education,College,0.53,0.05
biden,Iowa,176352,education,No college,0.47,0.16
bloomberg,Iowa,176352,education,No college,0.47,0
buttigieg,Iowa,176352,education,No college,0.47,0.21
klobuchar,Iowa,176352,education,No college,0.47,0.08
sanders,Iowa,176352,education,No college,0.47,0.3
steyer,Iowa,176352,education,No college,0.47,0.02
warren,Iowa,176352,education,No college,0.47,0.14
yang,Iowa,176352,education,No college,0.47,0.07
biden,Iowa,176352,education_race,College / white,0.5,0.16
bloomberg,Iowa,176352,education_race,College / white,0.5,0
buttigieg,Iowa,176352,education_race,College / white,0.5,0.24
klobuchar,Iowa,176352,education_race,College / white,0.5,0.18
sanders,Iowa,176352,education_race,College / white,0.5,0.15
steyer,Iowa,176352,education_race,College / white,0.5,0.02
warren,Iowa,176352,education_race,College / white,0.5,0.19
yang,Iowa,176352,education_race,College / white,0.5,0.05
biden,Iowa,176352,education_race,No college / white,0.42,0.17
bloomberg,Iowa,176352,education_race,No college / white,0.42,0
buttigieg,Iowa,176352,education_race,No college / white,0.42,0.22
klobuchar,Iowa,176352,education_race,No college / white,0.42,0.09
sanders,Iowa,176352,education_race,No college / white,0.42,0.29
steyer,Iowa,176352,education_race,No college / white,0.42,0.02
warren,Iowa,176352,education_race,No college / white,0.42,0.14
yang,Iowa,176352,education_race,No college / white,0.42,0.06
biden,Iowa,176352,education_race_gender,College / white / female,0.3,0.16
bloomberg,Iowa,176352,education_race_gender,College / white / female,0.3,0
buttigieg,Iowa,176352,education_race_gender,College / white / female,0.3,0.26
klobuchar,Iowa,176352,education_race_gender,College / white / female,0.3,0.21
sanders,Iowa,176352,education_race_gender,College / white / female,0.3,0.12
steyer,Iowa,176352,education_race_gender,College / white / female,0.3,0.01
warren,Iowa,176352,education_race_gender,College / white / female,0.3,0.2
yang,Iowa,176352,education_race_gender,College / white / female,0.3,0.02
biden,Iowa,176352,education_race_gender,No college / white / female,0.24,0.17
bloomberg,Iowa,176352,education_race_gender,No college / white / female,0.24,0
buttigieg,Iowa,176352,education_race_gender,No college / white / female,0.24,0.24
klobuchar,Iowa,176352,education_race_gender,No college / white / female,0.24,0.09
sanders,Iowa,176352,education_race_gender,No college / white / female,0.24,0.26
steyer,Iowa,176352,education_race_gender,No college / white / female,0.24,0.01
warren,Iowa,176352,education_race_gender,No college / white / female,0.24,0.16
yang,Iowa,176352,education_race_gender,No college / white / female,0.24,0.05
biden,Iowa,176352,education_race_gender,College / white / male,0.2,0.15
bloomberg,Iowa,176352,education_race_gender,College / white / male,0.2,0
buttigieg,Iowa,176352,education_race_gender,College / white / male,0.2,0.22
klobuchar,Iowa,176352,education_race_gender,College / white / male,0.2,0.13
sanders,Iowa,176352,education_race_gender,College / white / male,0.2,0.19
steyer,Iowa,176352,education_race_gender,College / white / male,0.2,0.02
warren,Iowa,176352,education_race_gender,College / white / male,0.2,0.16
yang,Iowa,176352,education_race_gender,College / white / male,0.2,0.09
biden,Iowa,176352,education_race_gender,No college / white / male,0.18,0.17
bloomberg,Iowa,176352,education_race_gender,No college / white / male,0.18,0
buttigieg,Iowa,176352,education_race_gender,No college / white / male,0.18,0.19
klobuchar,Iowa,176352,education_race_gender,No college / white / male,0.18,0.08
sanders,Iowa,176352,education_race_gender,No college / white / male,0.18,0.31
steyer,Iowa,176352,education_race_gender,No college / white / male,0.18,0.03
warren,Iowa,176352,education_race_gender,No college / white / male,0.18,0.13
yang,Iowa,176352,education_race_gender,No college / white / male,0.18,0.09
biden,Iowa,176352,ideology,Very liberal,0.25,0.04
bloomberg,Iowa,176352,ideology,Very liberal,0.25,0
